"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 16 00:37:15 YEKT 2024","Fri Feb 16 00:37:17 YEKT 2024","2037","tests","test_password_recovery_page","TestPasswordRecovery","","","Проверка, что клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его","На странице восстановления пароля клик по знакчку 'глаз' скрывает/показывает введенный в поле пароль"
"passed","Fri Feb 16 00:36:33 YEKT 2024","Fri Feb 16 00:36:34 YEKT 2024","1213","tests","test_password_recovery_page","TestPasswordRecovery","","","Проверить, что клик по кнопке «Восстановить пароль» переводит на страницу запроса восстановления пароля","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»"
"passed","Fri Feb 16 00:36:59 YEKT 2024","Fri Feb 16 00:37:02 YEKT 2024","2495","tests","test_password_recovery_page","TestPasswordRecovery","","","Проверка, что ввод почты и клик по кнопке 'Восстановить' введет на страницу восстановления пароля","На странице восстановления пароля вводим email и переходим на страницу восстановление пароляс получением кода"
"passed","Fri Feb 16 00:36:03 YEKT 2024","Fri Feb 16 00:36:09 YEKT 2024","5582","tests","test_order_feed","TestOrderFeedPage","","","После оформления заказа его номер появляется в разделе В работе","Логинимся готовым пользователем, создать один заказ, получить id заказасравнить что полученный id заказа появился в ""Ленте заказов""в статусе ""В работе"""
"passed","Fri Feb 16 00:38:38 YEKT 2024","Fri Feb 16 00:38:39 YEKT 2024","1068","tests","test_personal_cabinet","TestPersonalCabinet","","","Проверить, переход в раздел «История заказов»","Логинимся готовым пользователем, кликаем по кнопке 'Личный кабинет'кликаем по тексту 'История заказов'"
"broken","Fri Feb 16 00:32:03 YEKT 2024","Fri Feb 16 00:32:04 YEKT 2024","1123","tests","test_main_page","TestMainPage","","","Переход по клику на «Лента заказов»","Со страницы логина кликаем на текст Лента заказов и попадаем на страницу Лента заказов"
"failed","Fri Feb 16 00:34:36 YEKT 2024","Fri Feb 16 00:34:39 YEKT 2024","2826","tests","test_order_feed","TestOrderFeedPage","","","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","Залогиниться пользователем с заказами, собрать список заказов из Истории заказов и сверитькаждое значение списка со списком из раздела Лента заказов"
"passed","Fri Feb 16 00:33:02 YEKT 2024","Fri Feb 16 00:33:04 YEKT 2024","1890","tests","test_main_page","TestMainPage","","","Всплывающее окно закрывается кликом по элементу крестик","Кликаем на элемент булка, всплывающем окне находим текст 'Детали ингредиента' закрываем окно через крестик,всплывающее окно должно закрыться"
"passed","Fri Feb 16 00:32:36 YEKT 2024","Fri Feb 16 00:32:37 YEKT 2024","1596","tests","test_main_page","TestMainPage","","","Если кликнуть на ингредиент, появится всплывающее окно с деталями","Кликаем на элемент булка, в сплывающем окне находим текст 'Детали ингредиента'"
"passed","Fri Feb 16 00:32:51 YEKT 2024","Fri Feb 16 00:32:53 YEKT 2024","2198","tests","test_main_page","TestMainPage","","","Всплывающее окно закрывается кликом по элементу крестик","Кликаем на элемент булка, всплывающем окне находим текст 'Детали ингредиента' закрываем окно через крестик,всплывающее окно должно закрыться"
"passed","Fri Feb 16 00:32:10 YEKT 2024","Fri Feb 16 00:32:12 YEKT 2024","1818","tests","test_main_page","TestMainPage","","","Переход по клику на «Лента заказов»","Со страницы логина кликаем на текст Лента заказов и попадаем на страницу Лента заказов"
"passed","Fri Feb 16 00:39:00 YEKT 2024","Fri Feb 16 00:39:02 YEKT 2024","1495","tests","test_personal_cabinet","TestPersonalCabinet","","","Проверить, выход из аккаунта","Логинимся готовым пользователем, переходим в личный кабинет, кликаем по кнопке выходпроверяем что на странице нет элемента 'Выход'"
"passed","Fri Feb 16 00:31:49 YEKT 2024","Fri Feb 16 00:31:50 YEKT 2024","1277","tests","test_main_page","TestMainPage","","","Переход по клику на «Конструктор»","Со страницы логина кликаем на текст конструктор и попадаем на страницу конструктора"
"broken","Fri Feb 16 00:38:31 YEKT 2024","Fri Feb 16 00:38:31 YEKT 2024","60","tests","test_personal_cabinet","TestPersonalCabinet","","","Проверить, переход в раздел «История заказов»","Логинимся готовым пользователем, кликаем по кнопке 'Личный кабинет'кликаем по тексту 'История заказов'"
"passed","Fri Feb 16 00:37:51 YEKT 2024","Fri Feb 16 00:37:53 YEKT 2024","2580","tests","test_password_recovery_page","TestPasswordRecovery","","","Проверка, что клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его","На странице восстановления пароля клик по знакчку 'глаз' скрывает/показывает введенный в поле пароль"
"passed","Fri Feb 16 00:33:40 YEKT 2024","Fri Feb 16 00:33:41 YEKT 2024","773","tests","test_main_page","TestMainPage","","","Аутентифицированный  пользователь может оформить заказ","Аутентифицируемся пользователем, перетаскиваем элемент булка в область добавления заказа,кликаем кнопку 'Оформить заказ', получаем модальное окно 'Идентификатор заказа'"
"broken","Fri Feb 16 00:34:29 YEKT 2024","Fri Feb 16 00:34:29 YEKT 2024","25","tests","test_order_feed","TestOrderFeedPage","","","Заказы пользователя из раздела «История заказов» отображаются на странице «Лента заказов»","Залогиниться пользователем с заказами, собрать список заказов из Истории заказов и сверитькаждое значение списка со списком из раздела Лента заказов"
"passed","Fri Feb 16 00:31:38 YEKT 2024","Fri Feb 16 00:31:39 YEKT 2024","1791","tests","test_main_page","TestMainPage","","","Переход по клику на «Конструктор»","Со страницы логина кликаем на текст конструктор и попадаем на страницу конструктора"
"passed","Fri Feb 16 00:32:25 YEKT 2024","Fri Feb 16 00:32:26 YEKT 2024","1442","tests","test_main_page","TestMainPage","","","Если кликнуть на ингредиент, появится всплывающее окно с деталями","Кликаем на элемент булка, в сплывающем окне находим текст 'Детали ингредиента'"
"passed","Fri Feb 16 00:33:24 YEKT 2024","Fri Feb 16 00:33:26 YEKT 2024","1796","tests","test_main_page","TestMainPage","","","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","Кликаем на элемент булка, перемещаем элемент булка в область заказа, проверяем счетчик в области элемента'Флюоресцентная булка R2-D3'"
"passed","Fri Feb 16 00:34:13 YEKT 2024","Fri Feb 16 00:34:14 YEKT 2024","1801","tests","test_order_feed","TestOrderFeedPage","","","Если кликнуть на заказ, откроется всплывающее окно с деталями","Переходим в раздел Лента заказов, кликаем любой заказ, видим что появилось модальное окно с данными о заказе"
"broken","Fri Feb 16 00:36:22 YEKT 2024","Fri Feb 16 00:36:23 YEKT 2024","1245","tests","test_password_recovery_page","TestPasswordRecovery","","","Проверить, что клик по кнопке «Восстановить пароль» переводит на страницу запроса восстановления пароля","Переход на страницу восстановления пароля по кнопке «Восстановить пароль»"
"failed","Fri Feb 16 00:33:17 YEKT 2024","Fri Feb 16 00:33:19 YEKT 2024","1684","tests","test_main_page","TestMainPage","","","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","Кликаем на элемент булка, перемещаем элемент булка в область заказа, проверяем счетчик в области элемента'Флюоресцентная булка R2-D3'"
"passed","Fri Feb 16 00:35:01 YEKT 2024","Fri Feb 16 00:35:05 YEKT 2024","4176","tests","test_order_feed","TestOrderFeedPage","","","При создании нового заказа счётчик Выполнено за всё время увеличивается","Логинимся готовым пользователем, сохраняем текущее количество заказов в разделе Выполнено за всё время,создаем один заказ, снова сохраняем количество заказов в разделе Выполнено за всё время и сравниваемсохраненные значение до и после заказа"
"broken","Fri Feb 16 00:38:08 YEKT 2024","Fri Feb 16 00:38:08 YEKT 2024","47","tests","test_personal_cabinet","TestPersonalCabinet","","","Проверить, переход по клику на «Личный кабинет»","Логинимся готовым пользователем, кликаем по кнопке 'Личный кабинет' проверяем что настранице есть элемент текс 'Профиль'"
"broken","Fri Feb 16 00:35:20 YEKT 2024","Fri Feb 16 00:35:20 YEKT 2024","9","tests","test_order_feed","TestOrderFeedPage","","","При создании нового заказа счётчик Выполнено за сегодня увеличивается","Логинимся готовым пользователем, сохраняем текущее количество заказов в разделе ""Выполнено за сегодня""""Ленты заказов"", создаем один заказ, сохраняем количество заказов в разделе ""Выполнено за сегодня""""Ленты заказов"" и сравниваем сохраненные значение до и после заказа"
"passed","Fri Feb 16 00:35:26 YEKT 2024","Fri Feb 16 00:35:30 YEKT 2024","4085","tests","test_order_feed","TestOrderFeedPage","","","При создании нового заказа счётчик Выполнено за сегодня увеличивается","Логинимся готовым пользователем, сохраняем текущее количество заказов в разделе ""Выполнено за сегодня""""Ленты заказов"", создаем один заказ, сохраняем количество заказов в разделе ""Выполнено за сегодня""""Ленты заказов"" и сравниваем сохраненные значение до и после заказа"
"passed","Fri Feb 16 00:38:15 YEKT 2024","Fri Feb 16 00:38:16 YEKT 2024","990","tests","test_personal_cabinet","TestPersonalCabinet","","","Проверить, переход по клику на «Личный кабинет»","Логинимся готовым пользователем, кликаем по кнопке 'Личный кабинет' проверяем что настранице есть элемент текс 'Профиль'"
"broken","Fri Feb 16 00:35:45 YEKT 2024","Fri Feb 16 00:35:56 YEKT 2024","10987","tests","test_order_feed","TestOrderFeedPage","","","После оформления заказа его номер появляется в разделе В работе","Логинимся готовым пользователем, создать один заказ, получить id заказасравнить что полученный id заказа появился в ""Ленте заказов""в статусе ""В работе"""
"passed","Fri Feb 16 00:36:48 YEKT 2024","Fri Feb 16 00:36:50 YEKT 2024","2508","tests","test_password_recovery_page","TestPasswordRecovery","","","Проверка, что ввод почты и клик по кнопке 'Восстановить' введет на страницу восстановления пароля","На странице восстановления пароля вводим email и переходим на страницу восстановление пароляс получением кода"
"broken","Fri Feb 16 00:38:54 YEKT 2024","Fri Feb 16 00:38:54 YEKT 2024","38","tests","test_personal_cabinet","TestPersonalCabinet","","","Проверить, выход из аккаунта","Логинимся готовым пользователем, переходим в личный кабинет, кликаем по кнопке выходпроверяем что на странице нет элемента 'Выход'"
"broken","Fri Feb 16 00:34:06 YEKT 2024","Fri Feb 16 00:34:07 YEKT 2024","1083","tests","test_order_feed","TestOrderFeedPage","","","Если кликнуть на заказ, откроется всплывающее окно с деталями","Переходим в раздел Лента заказов, кликаем любой заказ, видим что появилось модальное окно с данными о заказе"
"broken","Fri Feb 16 00:34:50 YEKT 2024","Fri Feb 16 00:34:50 YEKT 2024","19","tests","test_order_feed","TestOrderFeedPage","","","При создании нового заказа счётчик Выполнено за всё время увеличивается","Логинимся готовым пользователем, сохраняем текущее количество заказов в разделе Выполнено за всё время,создаем один заказ, снова сохраняем количество заказов в разделе Выполнено за всё время и сравниваемсохраненные значение до и после заказа"
"passed","Fri Feb 16 00:33:52 YEKT 2024","Fri Feb 16 00:33:53 YEKT 2024","1119","tests","test_main_page","TestMainPage","","","Аутентифицированный  пользователь может оформить заказ","Аутентифицируемся пользователем, перетаскиваем элемент булка в область добавления заказа,кликаем кнопку 'Оформить заказ', получаем модальное окно 'Идентификатор заказа'"
